month,impressions,visits
2018-06,27413,10220
2018-05,28563,10436
2018-04,24779,9282
2018-03,27728,10548
2018-02,24917,9596
2018-01,28036,10700
2017-12,19618,7553
2017-11,29039,10607
2017-10,28176,10378
2017-09,30691,13183
2017-08,24220,9610
2017-07,23827,9268
2017-06,24706,9667
2017-05,28034,10525
2017-04,27699,10155
2017-03,49134,15889
2017-02,36793,8821
2017-01,42057,10091
2016-12,30638,6452
2016-11,38690,8790
2016-10,37041,8990
2016-09,37585,9422
2016-08,34876,7728
2016-07,33568,7443
2016-06,36385,8870
2016-05,22679,9147
2016-04,23605,9464
2016-03,21778,8488
2016-02,23348,9476
2016-01,21504,8879
2015-12,16514,6742
2015-11,21277,8787
2015-10,21871,9006
2015-09,17938,7518
2015-08,16778,6972
2015-07,21042,8846
2015-06,23178,9451
2015-05,21281,9163
2015-04,20671,8472
2015-03,21244,8862
2015-02,20140,8459
2015-01,20781,8674
2014-12,16116,6678
2014-11,20826,8274
2014-10,21783,8448
2014-09,18590,7558
2014-08,14089,6394
2014-07,18464,8701
2014-06,23333,8457
2014-05,29827,9367
2014-04,30381,7578
2014-03,28522,8014
2014-02,28760,8427
2014-01,24589,6707
2013-12,22130,5756
2013-11,24356,7721
2013-10,23357,9967
2013-09,28858,12532
2013-08,23050,7230
2013-07,33467,9238
2013-06,35456,11670
2013-05,25629,8054
2013-04,29039,8460
2013-03,23701,5874
2013-02,27069,7868
2013-01,22249,6860
2012-12,18050,6279
2012-11,30333,11024
2012-10,23223,7352
2012-09,22168,10503
2012-08,12998,6725
2012-07,13830,7117
2012-06,23246,11005
2012-05,15702,7999
2012-04,29154,13352
2012-03,15594,7695
2012-02,23016,10632
2012-01,15097,6926
2011-12,14637,6594
2011-11,23503,10569
2011-10,19031,8712
2011-09,54454,23765
